Region,Code,Name,Complaints
North East,5D7,Newcastle PCT,25
North East,5D8,North Tyneside PCT,27
North East,5D9,Hartlepool PCT,18
North East,5E1,Stockton-On-Tees Teaching PCT,95
North East,5J9,Darlington PCT,91
North East,5KF,Gateshead PCT,19
North East,5KG,South Tyneside PCT,27
North East,5KL,Sunderland Teaching PCT,46
North East,5KM,Middlesbrough PCT,13
North East,5ND,County Durham PCT,56
North East,5QR,Redcar & Cleveland PCT,38
North East,RE9,South Tyneside Health Care NHS Trust,294
North East,RLN,City Hospitals Sunderland NHS Foundation Trust,422
North East,RR7,Gateshead Health NHS Trust,223
North East,RTD,Newcastle Upon Tyne Hospitals NHS Trust,496
North East,RTR,South Tees Hospitals NHS Trust,317
North East,RVW,North Tees And Hartlepool NHS Trust,268
North East,RX3,"Tees, Esk and Wear Valleys NHS Trust",104
North East,RX4,"Northumberland, Tyne and Wear NHS Trust",128
North East,RX6,North East Ambulance Service NHS Trust,120
North East,RXP,County Durham And Darlington Acute Hospitals NHS Trust,524
North East,TAC,Northumberland Care Trust,26
North West,5CC,Blackburn With Darwen PCT,25
North West,5F5,Salford PCT,79
North West,5F7,Stockport PCT,81
North West,5HG,"Ashton, Leigh And Wigan PCT",86
North West,5HP,Blackpool PCT,15
North West,5HQ,Bolton PCT,180
North West,5J2,Warrington PCT,68
North West,5J4,Knowsley PCT,71
North West,5J5,Oldham PCT,68
North West,5JX,Bury PCT,24
North West,5LH,Tameside & Glossop PCT,49
North West,5NE,Cumbria PCT,87
North West,5NF,North Lancashire PCT,89
North West,5NG,Central Lancashire PCT,134
North West,5NH,East Lancashire PCT,127
North West,5NJ,Sefton PCT,67
North West,5NK,Wirral PCT,35
North West,5NL,Liverpool PCT,31
North West,5NM,Halton & St. Helens PCT,74
North West,5NN,Western Cheshire PCT,71
North West,5NP,Central & Eastern Cheshire PCT,103
North West,5NQ,"Heywood, Middleton & Rochdale PCT",27
North West,5NR,Trafford PCT,42
North West,5NT,Manchester PCT,115
North West,RBL,Wirral Hospital NHS Trust,357
North West,RBN,St Helens And Knowsley Hospitals NHS Trust,381
North West,RBQ,Cardiothoracic Centre - Liverpool NHS Trust,54
North West,RBS,Royal Liverpool Childrens NHS Trust,130
North West,RBT,Mid Cheshire Hospitals NHS Trust,268
North West,RBV,Christie Hospital NHS Trust,102
North West,REM,Aintree Hospitals NHS Trust,353
North West,REN,Clatterbridge Centre For Oncology NHS Trust,14
North West,REP,Liverpool Womens Hospital NHS Foundation Trust,108
North West,RET,Walton Centre For Neurology And Neurosurgery NHS Trust,98
North West,RJN,East Cheshire NHS Trust,130
North West,RJR,Countess Of Chester NHS Foundation Trust,207
North West,RJX,Calderstones NHS Trust,87
North West,RM2,South Manchester University Hospitals NHS Trust,407
North West,RM3,Salford Royal Hospitals NHS Trust,281
North West,RM4,Trafford Healthcare NHS Trust,115
North West,RMC,Bolton Hospitals NHS Trust,322
North West,RMP,Tameside And Glossop Acute Services NHS Trust,314
North West,RNL,North Cumbria Acute Hospitals NHS Trust,230
North West,RNN,North Cumbria Mental Health And Learning Disabilities NHS Trust,66
North West,RQ6,Royal Liverpool And Broadgreen Hospitals University NHS Trust,301
North West,RRF,"Wrightington, Wigan And Leigh NHS Trust",518
North West,RT2,Pennine Care NHS Trust,128
North West,RTV,5 Borough Partnership NHS Trust,124
North West,RTX,Morecambe Bay Hospitals NHS Trust,482
North West,RVY,Southport And Ormskirk Hospital NHS Trust,259
North West,RW3,Central Manchester And Manchester Children's University Hospitals NHS Trust,607
North West,RW4,Mersey Care NHS Trust,406
North West,RW5,Lancashire Care NHS Trust,243
North West,RW6,Pennine Acute Hospitals NHS Trust,735
North West,RWJ,Stockport NHS Foundation Trust,542
North West,RWW,North Cheshire Hospitals NHS Trust,377
North West,RX7,North West Ambulance Service NHS Trust,331
North West,RXA,Cheshire And Wirral Partnership NHS Trust,58
North West,RXL,"Blackpool, Fylde And Wyre Hospitals NHS Trust",362
North West,RXR,East Lancashire Hospitals NHS Trust,529
North West,TAE,Manchester Mental Health And Social Care Trust,140
Yorkshire and The Humber,5EF,North Lincolnshire PCT,15
Yorkshire and The Humber,5H8,Rotherham PCT,16
Yorkshire and The Humber,5J6,Calderdale PCT,60
Yorkshire and The Humber,5JE,Barnsley PCT,53
Yorkshire and The Humber,5N1,Leeds PCT,119
Yorkshire and The Humber,5N2,Kirklees PCT,36
Yorkshire and The Humber,5N3,Wakefield District PCT,54
Yorkshire and The Humber,5N4,Sheffield PCT,163
Yorkshire and The Humber,5N5,Doncaster PCT,29
Yorkshire and The Humber,5NV,North Yorkshire & York PCT,178
Yorkshire and The Humber,5NW,East Riding Of Yorkshire PCT,95
Yorkshire and The Humber,5NX,Hull PCT,24
Yorkshire and The Humber,5NY,Bradford & Airedale PCT,49
Yorkshire and The Humber,RAE,Bradford Teaching Hospitals NHS Foundation Trust,350
Yorkshire and The Humber,RCB,York Health Services NHS Trust,338
Yorkshire and The Humber,RCC,Scarborough And North East Yorkshire Health Care NHS Trust,223
Yorkshire and The Humber,RCD,Harrogate Health Care NHS Trust,214
Yorkshire and The Humber,RCF,Airedale NHS Trust,139
Yorkshire and The Humber,RFF,Barnsley District General Hospital NHS Trust,274
Yorkshire and The Humber,RFR,Rotherham General Hospitals NHS Trust,132
Yorkshire and The Humber,RGD,Leeds Mental Health Teaching NHS Trust,92
Yorkshire and The Humber,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,696
Yorkshire and The Humber,RJL,Northern Lincolnshire And Goole Hospitals NHS Trust,367
Yorkshire and The Humber,RP5,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,393
Yorkshire and The Humber,RR8,Leeds Teaching Hospitals NHS Trust,1396
Yorkshire and The Humber,RV9,Humber Mental Health Teaching NHS Trust,87
Yorkshire and The Humber,RWA,Hull And East Yorkshire Hospitals NHS Trust,388
Yorkshire and The Humber,RWY,Calderdale And Huddersfield NHS Trust,528
Yorkshire and The Humber,RX8,Yorkshire Ambulance Service NHS Trust,280
Yorkshire and The Humber,RXE,Doncaster And South Humber Healthcare NHS Trust,58
Yorkshire and The Humber,RXF,Mid Yorkshire Hospitals NHS Trust,917
Yorkshire and The Humber,RXG,South West Yorkshire Mental Health NHS Trust,104
Yorkshire and The Humber,TAD,Bradford District Health And Social Care Trust,62
Yorkshire and The Humber,TAH,Sheffield Care Trust,68
Yorkshire and The Humber,TAN,North East Lincolnshire Care Trust Plus,16
East Midlands,5EM,Nottingham City PCT,72
East Midlands,5ET,Bassetlaw PCT,21
East Midlands,5N6,Derbyshire County PCT,237
East Midlands,5N7,Derby City PCT,37
East Midlands,5N8,Nottinghamshire County PCT,119
East Midlands,5N9,Lincolnshire PCT,148
East Midlands,5PA,Leicestershire County & Rutland PCT,226
East Midlands,5PC,Leicester City PCT,128
East Midlands,5PD,Northampton PCT,182
East Midlands,RFS,Chesterfield And North Derbyshire Royal Hospital NHS Trust,517
East Midlands,RHA,Nottinghamshire Healthcare NHS Trust,418
East Midlands,RK5,Sherwood Forest Hospitals NHS Trust,499
East Midlands,RNQ,Kettering General Hospital NHS Trust,344
East Midlands,RNS,Northampton General Hospital NHS Trust,601
East Midlands,RP1,Northamptonshire Healthcare NHS Trust,148
East Midlands,RP7,Lincolnshire Partnership NHS Trust,79
East Midlands,RT5,Leicestershire Partnership NHS Trust,230
East Midlands,RTG,Derby Hospitals NHS Foundation Trust,324
East Midlands,RWD,United Lincolnshire Hospitals NHS Trust,848
East Midlands,RWE,University Hospitals Of Leicester NHS Trust,1426
East Midlands,RX1,Nottingham University Hospitals NHS Trust,986
East Midlands,RX9,East Midlands Ambulance Service NHS Trust,128
East Midlands,RXM,Derbyshire Mental Health Services NHS Trust,93
West Midlands,5CN,Herefordshire PCT,64
West Midlands,5M1,South Birmingham PCT,84
West Midlands,5M2,Shropshire County PCT,39
West Midlands,5M3,Walsall Teaching PCT,70
West Midlands,5MD,Coventry Teaching PCT,64
West Midlands,5MK,Telford & Wrekin PCT,32
West Midlands,5MV,Wolverhampton City PCT,100
West Midlands,5MX,Heart Of Birmingham Teaching PCT,104
West Midlands,5PE,Dudley PCT,88
West Midlands,5PF,Sandwell PCT,54
West Midlands,5PG,Birmingham East & North PCT,36
West Midlands,5PH,North Staffordshire PCT,30
West Midlands,5PJ,Stoke On Trent PCT,56
West Midlands,5PK,South Staffordshire PCT,162
West Midlands,5PL,Worcestershire PCT,256
West Midlands,5PM,Warwickshire PCT,82
West Midlands,RBK,Walsall Hospitals NHS Trust,303
West Midlands,RJC,South Warwickshire General Hospitals NHS Trust,223
West Midlands,RJE,North Staffordshire Hospital NHS Trust,537
West Midlands,RJF,Burton Hospitals NHS Trust,798
West Midlands,RKB,University Hospitals Coventry And Warwickshire NHS Trust,456
West Midlands,RL1,Robert Jones And Agnes Hunt Orthopaedic And District Hospital NHS Trust,78
West Midlands,RL4,Royal Wolverhampton Hospitals NHS Trust,385
West Midlands,RLQ,Hereford Hospitals NHS Trust,152
West Midlands,RLT,George Eliot Hospital NHS Trust,264
West Midlands,RLU,Birmingham Women's Health Care NHS Trust,99
West Midlands,RLY,North Staffordshire Combined Healthcare NHS Trust,61
West Midlands,RNA,Dudley Group Of Hospitals NHS Trust,359
West Midlands,RQ3,Birmingham Children's Hospital NHS Trust,89
West Midlands,RRE,South Staffordshire Healthcare NHS Trust,114
West Midlands,RRK,University Hospital Birmingham NHS  Foundation Trust,609
West Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,480
West Midlands,RWQ,Worcestershire Mental Health Partnership NHS Trust,56
West Midlands,RXK,Sandwell And West Birmingham Hospitals NHS Trust,791
West Midlands,RXT,Birmingham And Solihull Mental Health NHS Trust,295
West Midlands,RXW,Shrewsbury And Telford Hospitals NHS Trust,537
West Midlands,RYA,West Midlands Ambulance Service NHS Trust,195
West Midlands,RYG,Coventry and Warwickshire Partnership NHS Trust,101
West Midlands,RYK,Dudley and Walsall Mental Health Partnership NHS Trust,66
West Midlands,TAJ,Sandwell Mental Health NHS Social Care Trust,17
West Midlands,TAM,Solihull Care Trust,45
East of England,5GC,Luton PCT,34
East of England,5P1,South East Essex PCT,46
East of England,5P2,Bedfordshire PCT,59
